ticker,Name,Sector,Industry
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services
AGN,Allergan plc.,Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",Public Utilities,Power Generation
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers
LNT,Alliant Energy Corporation,Public Utilities,Power Generation
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc.,Finance,Finance: Consumer Services
AAU,"Almaden Minerals, Ltd.",Basic Industries,Precious Metals
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALDW,"Alon USA Partners, LP",Energy,Integrated oil Companies
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
APT,"Alpha Pro Tech, Ltd.",Health Care,Industrial Specialties
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
RESI,Altisource Residential Corporation,Finance,Real Estate
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",Technology,Semiconductors
AMBR,"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment
AMCX,AMC Networks Inc.,Consumer Services,Television Services
DOX,Amdocs Limited,Technology,EDP Services
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
AEE,Ameren Corporation,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
AXP,American Express Company,Finance,Finance: Consumer Services
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers
AMID,"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,American National Insurance Company,Finance,Life Insurance
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AWR,American States Water Company,Public Utilities,Water Supply
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals
AWK,American Water Works,Public Utilities,Water Supply
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APH,Amphenol Corporation,Capital Goods,Electrical Products
AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ALOG,Analogic Corporation,Capital Goods,Electrical Products
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution)
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution
AR,Antero Resources Corporation,Energy,Oil & Gas Production
ANTM,"Anthem, Inc.",Health Care,Medical Specialities
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts
AON,Aon plc,Finance,Specialty Insurers
APA,Apache Corporation,Energy,Oil & Gas Production
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts
APO,"Apollo Global Management, LLC",Finance,Investment Managers
AAPL,Apple Inc.,Technology,Computer Manufacturing
APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
AREX,Approach Resources Inc.,Energy,Oil & Gas Production
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products
WTR,"Aqua America, Inc.",Public Utilities,Water Supply
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARMK,Aramark,Consumer Services,Restaurants
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services
MT,ArcelorMittal,Basic Industries,Steel/Iron Ore
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
ARES,Ares Management L.P.,Finance,Investment Managers
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction
ARGS,"Argos Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components
AROW,Arrow Financial Corporation,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers
AKG,Asanko Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services
AHP,"Ashford Hospitality Prime, Inc.",Consumer Services,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers
ASFI,"Asta Funding, Inc.",Finance,Finance Companies
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
AST,"Asterias Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AZN,Astrazeneca PLC,Health Care,Major Pharmaceuticals
ASUR,Asure Software Inc,Technology,EDP Services
HOME,At Home Group Inc.,Consumer Services,Home Furnishings
T,AT&T Inc.,Public Utilities,Telecommunications Equipment
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
AT,Atlantic Power Corporation,Energy,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software
AUO,AU Optronics Corp,Technology,Semiconductors
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
ATHM,Autohome Inc.,Technology,EDP Services
ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVH,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
AVA,Avista Corporation,Public Utilities,Power Generation
AVT,"Avnet, Inc.",Consumer Non-Durables,Electronic Components
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
AVX,AVX Corporation,Capital Goods,Electrical Products
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXTI,AXT Inc,Technology,Semiconductors
BGS,"B&G Foods, Inc.",Consumer Non-Durables,Packaged Foods
BTG,B2Gold Corp,Basic Industries,Precious Metals
BMI,"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
BCPC,Balchem Corporation,Basic Industries,Major Chemicals
BWINB,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers
BTN,"Ballantyne Strong, Inc",Miscellaneous,Industrial Machinery/Components
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components
BANC,"Banc of California, Inc.",Finance,Major Banks
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks
BBD,Banco Bradesco Sa,Finance,Major Banks
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",Finance,Commercial Banks
BSBR,Banco Santander Brasil SA,Finance,Commercial Banks
BSAC,Banco Santander Chile,Finance,Commercial Banks
SAN,"Banco Santander, S.A.",Finance,Commercial Banks
BXS,BancorpSouth Bank,Finance,Major Banks
BKMU,Bank Mutual Corporation,Finance,Savings Institutions
BAC,Bank of America Corporation,Finance,Major Banks
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks
BOH,Bank of Hawaii Corporation,Finance,Major Banks
BMO,Bank Of Montreal,Finance,Commercial Banks
BK,Bank Of New York Mellon Corporation (The),Finance,Major Banks
BNS,Bank of Nova Scotia (The),Finance,Major Banks
OZRK,Bank of the Ozarks,Finance,Major Banks
BKU,"BankUnited, Inc.",Finance,Savings Institutions
BANR,Banner Corporation,Finance,Major Banks
BAA,BANRO CORPORATION,Basic Industries,Precious Metals
BCS,Barclays PLC,Finance,Commercial Banks
BKS,"Barnes & Noble, Inc.",Consumer Services,Other Specialty Stores
B,"Barnes Group, Inc.",Capital Goods,Metal Fabrications
CUDA,"Barracuda Networks, Inc.",Technology,Computer peripheral equipment
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services
ABX,Barrick Gold Corporation,Basic Industries,Precious Metals
BAS,"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment
BAX,Baxter International Inc.,Health Care,Medical/Dental Instruments
BTE,Baytex Energy Corp,Energy,Oil & Gas Production
BV,"Bazaarvoice, Inc.",Technology,Computer Software: Prepackaged Software
BBT,BB&T Corporation,Finance,Major Banks
BFR,BBVA Banco Frances S.A.,Finance,Commercial Banks
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions
BCE,"BCE, Inc.",Public Utilities,Telecommunications Equipment
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials
BSF,"Bear State Financial, Inc.",Finance,Major Banks
BZH,"Beazer Homes USA, Inc.",Capital Goods,Homebuilding
BDX,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products
BDC,Belden Inc,Basic Industries,Telecommunications Equipment
BXE,Bellatrix Exploration Ltd,Energy,Oil & Gas Production
BEL,Belmond Ltd.,Consumer Services,Hotels/Resorts
BHE,"Benchmark Electronics, Inc.",Technology,Electrical Products
BNCL,"Beneficial Bancorp, Inc.",Finance,Savings Institutions
BNFT,"Benefitfocus, Inc.",Technology,Computer Software: Prepackaged Software
BHLB,"Berkshire Hills Bancorp, Inc.",Finance,Banks
BERY,"Berry Global Group, Inc.",Consumer Non-Durables,Plastic Products
BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service
BHP,BHP Billiton Limited,Basic Industries,Precious Metals
BBL,BHP Billiton plc,Energy,Coal Mining
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores
BIG,"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores
BBG,Bill Barrett Corporation,Energy,Oil & Gas Production
BIOA,BioAmber Inc.,Basic Industries,Major Chemicals
BIOC,"Biocept, Inc.",Health Care,Medical Specialities
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals
BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
BIO,"Bio-Rad Laboratories, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services
TECH,Bio-Techne Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,"BioTelemetry, Inc.",Health Care,Medical Specialities
BTX,"BioTime, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BITA,Bitauto Holdings Limited,Technology,EDP Services
BJRI,"BJ&#39;s Restaurants, Inc.",Consumer Services,Restaurants
BBOX,Black Box Corporation,Technology,Computer Communications Equipment
BKH,Black Hills Corporation,Public Utilities,Electric Utilities: Central
BLKB,"Blackbaud, Inc.",Technology,Computer Software: Prepackaged Software
HAWK,"Blackhawk Network Holdings, Inc.",Finance,Finance: Consumer Services
BLK,"BlackRock, Inc.",Finance,Investment Bankers/Brokers/Service
BLMN,"Bloomin&#39; Brands, Inc.",Consumer Services,Restaurants
BCOR,"Blucora, Inc.",Finance,Finance: Consumer Services
BHBK,"Blue Hills Bancorp, Inc.",Finance,Major Banks
BLUE,"bluebird bio, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKEP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution
BRG,"Bluerock Residential Growth REIT, Inc.",Consumer Services,Real Estate Investment Trusts
BWP,Boardwalk Pipeline Partners L.P.,Public Utilities,Natural Gas Distribution
BOBE,"Bob Evans Farms, Inc.",Consumer Services,Restaurants
BA,Boeing Company (The),Capital Goods,Aerospace
BOFI,"BofI Holding, Inc.",Finance,Savings Institutions
WIFI,"Boingo Wireless, Inc.",Consumer Services,Telecommunications Equipment
BCC,"Boise Cascade, L.L.C.",Consumer Services,RETAIL: Building Materials
BOKF,BOK Financial Corporation,Finance,Major Banks
BCEI,"Bonanza Creek Energy, Inc.",Energy,Oil & Gas Production
BOOT,"Boot Barn Holdings, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
BAH,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services
BWA,BorgWarner Inc.,Capital Goods,Auto Parts:O.E.M.
SAM,"Boston Beer Company, Inc. (The)",Consumer Non-Durables,Beverages (Production/Distribution)
BPFH,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
